c,c_user_agg_count_mean,c_user_agg_count_std,c_user_agg_count_max,c_user_agg_count_median,c_user_agg_amount_mean,c_user_agg_amount_std,c_user_agg_amount_max,c_user_agg_amount_median
23171,1.0,0.0,1,1,7.61,1.22,8.82,8.82
24000,2.28,3.13,17,1,82.24,90.05,436.22,53.79
24010,1.54,0.95,7,1,35.32,30.89,184.42,25.77
24011,1.17,0.5,3,1,71.08,36.85,162.03,67.76
24012,1.4,0.71,3,1,36.76,29.88,110.95,28.48
24030,1.25,0.43,2,1,74.74,89.19,229.18,25.93
24032,1.0,0.0,1,1,2.55,0.0,2.55,2.55
24100,1.14,0.35,2,1,30.63,7.66,43.84,29.92
24101,1.68,1.43,9,1,25.1,14.5,70.9,22.5
24102,1.17,0.37,2,1,14.97,6.51,26.08,16.57
24112,1.0,0.0,1,1,5.72,1.94,7.27,6.91
24220,1.0,0.0,1,1,7.66,3.34,11.86,9.93
24400,1.0,0.0,1,1,10.42,0.0,10.42,10.42
24401,1.2,0.4,2,1,25.31,8.4,44.49,24.88
24403,1.25,0.43,2,1,17.87,7.8,30.87,16.14
25005,1.0,0.0,1,1,4.2,1.47,6.0,3.0
25012,1.56,0.96,4,1,9.7,4.2,19.92,8.32
25100,1.22,0.42,2,1,9.47,3.19,15.6,8.09
25101,2.36,2.02,10,1,9.4,9.17,47.37,6.0
25102,1.0,0.0,1,1,2.5,0.0,2.5,2.5
25110,1.2,0.4,2,1,5.5,2.45,10.0,5.0
25111,1.77,1.99,11,1,7.91,14.14,92.0,4.0
25112,1.5,0.5,2,2,18.95,11.78,30.72,30.72
25120,2.69,7.07,51,1,10.44,24.95,168.2,4.0
25121,1.45,1.75,9,1,6.09,7.55,38.72,4.0
25130,1.25,0.66,3,1,6.95,6.66,22.48,4.86
25150,1.0,0.0,1,1,6.8,0.0,6.8,6.8
25405,1.0,0.0,1,1,10.08,0.0,10.08,10.08
27000,2.59,4.66,44,1,31.69,48.24,419.76,19.99
27002,1.73,1.3,7,1,40.18,40.44,189.92,28.2
27030,1.0,0.0,1,1,14.66,2.48,17.15,17.15
27100,1.52,0.92,5,1,11.52,7.93,36.04,10.29
27200,1.8,1.57,9,1,13.09,12.9,76.11,8.0
27201,1.0,0.0,1,1,8.0,0.0,8.0,8.0
27240,1.45,0.66,3,1,3.58,1.66,7.4,3.08
27300,2.15,2.31,19,1,8.07,9.57,76.7,5.0
27400,2.0,2.69,21,1,22.81,33.97,258.08,15.84
27410,1.99,1.42,11,2,14.54,14.23,128.0,12.0
27421,1.0,0.0,1,1,42.86,0.0,42.86,42.86
30000,1.4,0.49,2,1,49.5,40.1,118.8,39.6
30001,2.0,0.0,2,2,34.8,0.0,34.8,34.8
30006,1.0,0.0,1,1,19.9,0.0,19.9,19.9
30010,1.67,1.11,4,1,10.53,8.87,28.7,6.9
30011,1.0,0.0,1,1,25.18,13.26,48.0,19.9
30012,1.0,0.0,1,1,29.9,0.0,29.9,29.9
30020,1.5,0.5,2,2,25.85,0.05,25.9,25.9
30040,1.0,0.0,1,1,14.5,0.0,14.5,14.5
30042,1.0,0.0,1,1,49.0,0.0,49.0,49.0
30052,1.0,0.0,1,1,78.0,0.0,78.0,78.0
30103,1.0,0.0,1,1,10.9,0.0,10.9,10.9
30120,4.0,0.0,4,4,30.8,0.0,30.8,30.8
30121,2.0,0.0,2,2,35.8,0.0,35.8,35.8
30124,1.5,0.5,2,2,54.9,24.9,79.8,79.8
30125,4.0,0.0,4,4,71.6,0.0,71.6,71.6
30126,4.0,0.0,4,4,36.0,0.0,36.0,36.0
30133,2.0,0.0,2,2,49.8,0.0,49.8,49.8
30151,1.0,0.0,1,1,179.0,0.0,179.0,179.0
30161,1.27,0.45,2,1,18.66,17.92,60.8,10.9
30164,1.0,0.0,1,1,3.9,0.0,3.9,3.9
30165,1.5,0.5,2,2,15.35,5.45,20.8,20.8
30166,1.0,0.0,1,1,8.23,1.25,9.9,7.9
30167,1.0,0.0,1,1,20.9,0.0,20.9,20.9
30169,1.0,0.0,1,1,42.9,0.0,42.9,42.9
30170,1.5,0.5,2,2,22.35,7.45,29.8,29.8
30172,1.0,0.0,1,1,17.9,0.0,17.9,17.9
30175,1.0,0.0,1,1,29.0,0.0,29.0,29.0
30202,1.0,0.0,1,1,97.0,0.0,97.0,97.0
30215,1.0,0.0,1,1,149.0,0.0,149.0,149.0
30231,1.0,0.0,1,1,149.0,98.99,289.0,79.0
30233,1.0,0.0,1,1,279.0,0.0,279.0,279.0
