Longitude,Latitude,AsuLevel_1,RSSI_1,AsuLevel_2,RSSI_2,AsuLevel_3,RSSI_3,AsuLevel_4,RSSI_4,AsuLevel_5,RSSI_5,AsuLevel_6,RSSI_6,AsuLevel_7,RSSI_7,MRTime,IMSI,Position,latitude_1,longitude_1,latitude_2,longitude_2,latitude_3,longitude_3,latitude_4,longitude_4,latitude_5,longitude_5,latitude_6,longitude_6,latitude_7,longitude_7
121.20986470000001,31.28299994,18,-77,19,-75,14.0,-85.0,21.0,-71.0,14.0,-85.0,13.0,-87.0,15.0,-83.0,1509264777812.0,460011670515939.06,132,31.289647,121.208284,31.289402000000003,121.208105,0.0,0.0,31.289402000000003,121.208105,31.287846000000002,121.191709,0.0,0.0,0.0,0.0
121.2099741,31.28293289,18,-77,19,-75,14.0,-85.0,21.0,-71.0,14.0,-85.0,13.0,-87.0,15.0,-83.0,1509264778898.0,460011670515939.06,122,31.289647,121.208284,31.289402000000003,121.208105,0.0,0.0,31.289402000000003,121.208105,31.287846000000002,121.191709,0.0,0.0,0.0,0.0
121.2100531,31.2828718,18,-77,19,-75,14.0,-85.0,21.0,-71.0,14.0,-85.0,13.0,-87.0,15.0,-83.0,1509264781033.0,460011670515939.06,112,31.289647,121.208284,31.289402000000003,121.208105,0.0,0.0,31.289402000000003,121.208105,31.287846000000002,121.191709,0.0,0.0,0.0,0.0
121.2100531,31.2828718,13,-87,19,-75,13.0,-87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1509264781879.0,460011670515939.06,112,31.289402000000003,121.208105,31.289402000000003,121.208105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121.21016759999999,31.28278943,13,-87,19,-75,13.0,-87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1509264782918.0,460011670515939.06,99,31.289402000000003,121.208105,31.289402000000003,121.208105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121.21016759999999,31.28278943,13,-87,17,-79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1509264784054.0,460011670515939.06,99,31.289402000000003,121.208105,31.289402000000003,121.208105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121.21026299999998,31.28272468,13,-87,17,-79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1509264785060.0,460011670515939.06,89,31.289402000000003,121.208105,31.289402000000003,121.208105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121.21026299999998,31.28272468,12,-89,17,-79,19.0,-75.0,12.0,-89.0,0.0,0.0,0.0,0.0,0.0,0.0,1509264786143.0,460011670515939.06,89,31.289402000000003,121.208105,31.289402000000003,121.208105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121.21036219999999,31.28266179,12,-89,17,-79,19.0,-75.0,12.0,-89.0,0.0,0.0,0.0,0.0,0.0,0.0,1509264787211.0,460011670515939.06,79,31.289402000000003,121.208105,31.289402000000003,121.208105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121.21036219999999,31.28266179,11,-91,15,-83,19.0,-75.0,12.0,-89.0,0.0,0.0,0.0,0.0,0.0,0.0,1509264788284.0,460011670515939.06,79,31.289402000000003,121.208105,31.289402000000003,121.208105,31.289647,121.208284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
