b,b_count_all,b_count_2,b_count_3,b_count_4,b_amount_all,b_amount_2,b_amount_3,b_amount_4
11210.0,3.0,1.0,0.0,2.0,83.4,27.8,0.0,55.6
11213.0,2.0,1.0,1.0,0.0,17.4,7.5,9.9,0.0
11215.0,3.0,0.0,1.0,2.0,149.0,0.0,39.0,110.0
11217.0,2.0,1.0,1.0,0.0,7.6,3.8,3.8,0.0
11219.0,2.0,2.0,0.0,0.0,33.6,33.6,0.0,0.0
11220.0,1.0,0.0,0.0,1.0,35.0,0.0,0.0,35.0
11221.0,6.0,1.0,1.0,4.0,227.40000000000003,34.9,39.0,153.5
11224.0,14.0,4.0,5.0,5.0,696.8999999999999,211.7,368.0,117.2
11225.0,3.0,0.0,3.0,0.0,144.8,0.0,144.8,0.0
11227.0,1.0,1.0,0.0,0.0,7.9,7.9,0.0,0.0
11228.0,2.0,0.0,2.0,0.0,74.8,0.0,74.8,0.0
11233.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,10.0
11234.0,2.0,0.0,0.0,2.0,57.5,0.0,0.0,57.5
11235.0,1.0,0.0,0.0,1.0,18.0,0.0,0.0,18.0
11241.0,6.0,3.0,1.0,2.0,42.2,19.0,4.8,18.4
11258.0,3.0,1.0,1.0,1.0,55.5,18.5,18.5,18.5
11260.0,5.0,1.0,0.0,4.0,194.0,29.0,0.0,165.0
11263.0,1.0,0.0,0.0,1.0,2.9,0.0,0.0,2.9
11265.0,4.0,2.0,2.0,0.0,44.199999999999996,12.399999999999999,31.8,0.0
11276.0,1.0,0.0,0.0,1.0,35.0,0.0,0.0,35.0
11281.0,3.0,2.0,1.0,0.0,269.70000000000005,179.8,89.9,0.0
11286.0,1.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0
11288.0,3.0,0.0,2.0,1.0,29.700000000000003,0.0,19.8,9.9
11291.0,4.0,3.0,0.0,1.0,76.6,53.699999999999996,0.0,22.9
11301.0,3.0,2.0,0.0,1.0,99.69999999999999,63.8,0.0,35.9
11305.0,1.0,1.0,0.0,0.0,33.0,33.0,0.0,0.0
11306.0,1.0,1.0,0.0,0.0,24.5,24.5,0.0,0.0
11310.0,1.0,0.0,1.0,0.0,15.0,0.0,15.0,0.0
11312.0,1.0,0.0,0.0,1.0,8.9,0.0,0.0,8.9
11313.0,1.0,0.0,0.0,1.0,39.9,0.0,0.0,39.9
11314.0,2.0,0.0,2.0,0.0,107.0,0.0,107.0,0.0
11317.0,1.0,0.0,0.0,1.0,25.0,0.0,0.0,25.0
11318.0,1.0,0.0,0.0,1.0,22.0,0.0,0.0,22.0
11321.0,1.0,1.0,0.0,0.0,39.0,39.0,0.0,0.0
11327.0,14.0,0.0,11.0,3.0,156.80000000000004,0.0,127.10000000000002,29.700000000000003
11334.0,2.0,1.0,0.0,1.0,45.8,22.9,0.0,22.9
11337.0,1.0,1.0,0.0,0.0,26.9,26.9,0.0,0.0
11338.0,2.0,0.0,2.0,0.0,60.4,0.0,60.4,0.0
11342.0,1.0,1.0,0.0,0.0,19.9,19.9,0.0,0.0
11344.0,4.0,1.0,1.0,2.0,47.699999999999996,18.0,9.9,19.8
11345.0,1.0,1.0,0.0,0.0,39.8,39.8,0.0,0.0
11351.0,1.0,0.0,1.0,0.0,16.8,0.0,16.8,0.0
11352.0,1.0,0.0,1.0,0.0,39.0,0.0,39.0,0.0
11356.0,1.0,1.0,0.0,0.0,59.0,59.0,0.0,0.0
11365.0,1.0,1.0,0.0,0.0,19.0,19.0,0.0,0.0
11375.0,2.0,0.0,2.0,0.0,34.7,0.0,34.7,0.0
11376.0,1.0,0.0,0.0,1.0,22.0,0.0,0.0,22.0
11378.0,2.0,0.0,1.0,1.0,98.5,0.0,59.0,39.5
11379.0,8.0,1.0,2.0,5.0,104.0,10.9,22.700000000000003,70.4
11381.0,1.0,1.0,0.0,0.0,14.8,14.8,0.0,0.0
11383.0,3.0,2.0,1.0,0.0,122.0,106.0,16.0,0.0
11384.0,2.0,1.0,1.0,0.0,37.0,18.5,18.5,0.0
11385.0,15.0,1.0,6.0,8.0,182.2,16.9,76.60000000000001,88.7
11387.0,1.0,1.0,0.0,0.0,29.0,29.0,0.0,0.0
