i,i_count_all,i_count_2,i_count_3,i_count_4,i_amount_all,i_amount_2,i_amount_3,i_amount_4
10141041,10.0,2.0,1.0,7.0,85.0,17.0,8.5,59.5
10141042,16.0,2.0,9.0,5.0,32.0,4.0,18.0,10.0
10141044,6.0,0.0,4.0,2.0,24.0,0.0,16.0,8.0
10141045,1.0,0.0,1.0,0.0,9.0,0.0,9.0,0.0
10141046,10.0,4.0,0.0,6.0,85.0,34.0,0.0,51.0
10141047,1.0,0.0,1.0,0.0,18.0,0.0,18.0,0.0
10141048,2.0,0.0,2.0,0.0,5.6,0.0,5.6,0.0
10141049,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0
10141056,1.0,0.0,0.0,1.0,3.8,0.0,0.0,3.8
10141063,1.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0
10141070,2.0,1.0,1.0,0.0,5.0,4.0,1.0,0.0
10141071,4.0,0.0,2.0,2.0,4.0,0.0,2.0,2.0
10141072,3.0,0.0,2.0,1.0,3.0,0.0,2.0,1.0
10141080,4.0,4.0,0.0,0.0,14.0,14.0,0.0,0.0
10150003,1.0,0.0,0.0,1.0,5.9,0.0,0.0,5.9
10150004,9.0,2.0,2.0,5.0,25.500000000000004,7.0,7.0,11.5
10150006,12.0,10.0,2.0,0.0,36.0,30.0,6.0,0.0
10150007,1.0,0.0,1.0,0.0,3.9,0.0,3.9,0.0
10150009,1.0,0.0,0.0,1.0,3.8,0.0,0.0,3.8
10150010,2.0,0.0,0.0,2.0,7.0,0.0,0.0,7.0
10150012,2.0,0.0,2.0,0.0,7.0,0.0,7.0,0.0
10150015,2.0,0.0,0.0,2.0,12.0,0.0,0.0,12.0
10150016,8.0,1.0,5.0,2.0,28.8,3.8,17.5,7.5
10150017,1.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0
10150018,1.0,0.0,1.0,0.0,3.5,0.0,3.5,0.0
10150019,5.0,0.0,2.0,3.0,17.5,0.0,7.0,10.5
10150020,2.0,1.0,1.0,0.0,7.0,3.5,3.5,0.0
10150021,2.0,1.0,0.0,1.0,7.0,3.5,0.0,3.5
10150022,3.0,0.0,0.0,3.0,10.5,0.0,0.0,10.5
10150023,2.0,2.0,0.0,0.0,7.0,7.0,0.0,0.0
10150024,1.0,1.0,0.0,0.0,3.5,3.5,0.0,0.0
10150025,1.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0
10150026,1.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0
10150035,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
10150036,1.0,1.0,0.0,0.0,2.5,2.5,0.0,0.0
10150037,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0
10150038,1.0,0.0,0.0,1.0,4.0,0.0,0.0,4.0
10150040,1.0,0.0,0.0,1.0,4.0,0.0,0.0,4.0
10150041,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
10150046,2.0,0.0,1.0,1.0,9.8,0.0,4.9,4.9
10150047,1.0,0.0,1.0,0.0,4.9,0.0,4.9,0.0
10151001,5.0,0.0,4.0,1.0,35.0,0.0,28.0,7.0
10151002,26.0,5.0,1.0,20.0,156.0,30.0,6.0,120.0
10152002,1.0,0.0,0.0,1.0,5.5,0.0,0.0,5.5
10152007,2.0,0.0,0.0,2.0,10.0,0.0,0.0,10.0
10152011,3.0,3.0,0.0,0.0,12.0,12.0,0.0,0.0
10152012,1.0,0.0,0.0,1.0,4.7,0.0,0.0,4.7
10152013,9.0,0.0,0.0,9.0,43.300000000000004,0.0,0.0,43.300000000000004
10152021,1.0,0.0,1.0,0.0,19.8,0.0,19.8,0.0
10152024,1.0,0.0,0.0,1.0,5.8,0.0,0.0,5.8
