c,c_i_agg_count_unique_max,c_i_agg_count_unique_median,c_i_agg_count_unique_mean,c_i_agg_count_unique_std
14772,2,1,1.0,0.816496580927726
14774,2,2,1.3333333333333333,0.9428090415820634
14775,1,0,0.3333333333333333,0.4714045207910317
14800,5,3,2.6666666666666665,2.0548046676563256
14801,4,3,2.3333333333333335,1.699673171197595
14802,12,10,7.333333333333333,5.2493385826745405
14803,1,0,0.3333333333333333,0.4714045207910317
14804,1,1,0.6666666666666666,0.4714045207910317
14811,4,4,2.6666666666666665,1.8856180831641267
14812,4,2,2.0,1.632993161855452
14813,3,1,1.3333333333333333,1.247219128924647
14814,2,2,1.3333333333333333,0.9428090415820634
14815,4,2,2.0,1.632993161855452
14820,1,0,0.3333333333333333,0.4714045207910317
14822,1,1,0.6666666666666666,0.4714045207910317
14823,1,0,0.3333333333333333,0.4714045207910317
14826,2,0,0.6666666666666666,0.9428090415820634
14827,1,0,0.3333333333333333,0.4714045207910317
14828,1,0,0.3333333333333333,0.4714045207910317
14830,7,6,4.333333333333333,3.0912061651652345
14831,12,4,5.333333333333333,4.988876515698588
14833,4,0,1.3333333333333333,1.8856180831641267
14834,1,0,0.3333333333333333,0.4714045207910317
14836,4,3,2.3333333333333335,1.699673171197595
14837,3,3,2.0,1.4142135623730951
14838,1,0,0.3333333333333333,0.4714045207910317
14839,3,3,2.0,1.4142135623730951
14840,1,0,0.3333333333333333,0.4714045207910317
14841,3,3,2.0,1.4142135623730951
14842,5,2,2.3333333333333335,2.0548046676563256
14843,2,1,1.0,0.816496580927726
14844,5,3,2.6666666666666665,2.0548046676563256
14845,1,1,0.6666666666666666,0.4714045207910317
14846,3,2,1.6666666666666667,1.247219128924647
14847,1,1,0.6666666666666666,0.4714045207910317
14850,1,1,0.6666666666666666,0.4714045207910317
14851,2,1,1.0,0.816496580927726
14860,6,3,3.0,2.449489742783178
14861,3,2,1.6666666666666667,1.247219128924647
14862,2,0,0.6666666666666666,0.9428090415820634
14863,4,2,2.0,1.632993161855452
14870,3,2,1.6666666666666667,1.247219128924647
14871,1,0,0.3333333333333333,0.4714045207910317
14872,1,0,0.3333333333333333,0.4714045207910317
14873,3,1,1.3333333333333333,1.247219128924647
14874,1,0,0.3333333333333333,0.4714045207910317
14900,9,8,5.666666666666667,4.0276819911981905
14901,1,0,0.3333333333333333,0.4714045207910317
14903,1,1,0.6666666666666666,0.4714045207910317
14905,3,1,1.3333333333333333,1.247219128924647
14906,1,0,0.3333333333333333,0.4714045207910317
14911,1,0,0.3333333333333333,0.4714045207910317
14912,1,1,0.6666666666666666,0.4714045207910317
14914,1,0,0.3333333333333333,0.4714045207910317
14916,4,3,2.3333333333333335,1.699673171197595
14917,3,3,2.0,1.4142135623730951
14920,1,0,0.3333333333333333,0.4714045207910317
14922,1,0,0.3333333333333333,0.4714045207910317
