,b,c,b_c_agg_count_max,b_c_agg_count_median,b_c_agg_count_mean,b_c_agg_count_std,b_c_agg_amount_max,b_c_agg_amount_median,b_c_agg_amount_mean,b_c_agg_amount_std
358,14041.0,14401.0,0.342,0.0,0.114,0.16122034611053285,22.5,0.0,7.5,10.606601717798213
359,14041.0,14830.0,1.0,1.0,0.6666666666666666,0.4714045207910317,5.8,5.8,3.8666666666666667,2.7341462205879834
360,14042.0,14561.0,1.0,0.0,0.3333333333333333,0.4714045207910317,15.8,0.0,5.266666666666667,7.448191428498301
361,14042.0,14828.0,1.0,0.0,0.3333333333333333,0.4714045207910317,4.9,0.0,1.6333333333333335,2.3098821518760553
362,14042.0,14832.0,1.0,0.0,0.3333333333333333,0.4714045207910317,5.5,0.0,1.8333333333333333,2.592724864350674
363,14043.0,14820.0,3.0,2.0,1.6666666666666667,1.247219128924647,39.1,31.2,23.433333333333334,16.880824097840197
364,14043.0,14833.0,2.0,1.0,1.0,0.816496580927726,19.8,9.9,9.9,8.083316151184487
365,14044.0,14060.0,1.0,1.0,0.6666666666666666,0.4714045207910317,6.8,6.8,4.533333333333333,3.205550741379015
366,14044.0,14061.0,3.0,1.0,1.3333333333333333,1.247219128924647,27.8,14.8,14.200000000000001,11.357229709161768
367,14044.0,14070.0,1.0,1.0,0.6666666666666666,0.4714045207910317,6.9,6.9,4.6000000000000005,3.2526911934581184
368,14044.0,14072.0,6.0,3.0,3.3333333333333335,2.0548046676563256,53.6,20.700000000000006,26.433333333333337,20.250816170109182
