u,u_b_user_agg_count_mean,u_b_user_agg_count_std,u_b_user_agg_count_max,u_b_user_agg_count_median,u_b_user_agg_amount_mean,u_b_user_agg_amount_std,u_b_user_agg_amount_max,u_b_user_agg_amount_median
2900001047739,1.67,1.05,4,1,77.88,189.27,612.0,7.9
2900001050364,1.44,0.68,3,1,5.81,3.61,13.9,4.8
2900001050500,1.91,1.5,5,1,11.75,14.61,54.6,6.6
2900001050791,1.61,1.23,7,1,23.9,46.36,239.0,11.5
2900001067881,1.3,0.46,2,1,19.17,21.2,73.8,9.9
2900001067911,1.75,0.83,3,2,57.82,36.5,99.0,89.1
2900001068499,1.38,0.68,3,1,20.15,40.29,216.0,10.9
2900001068833,1.33,0.47,2,1,14.66,11.22,34.3,8.9
2900001078658,1.0,0.0,1,1,13.64,12.27,30.0,8.5
2900001092012,2.75,1.3,5,2,26.5,20.82,60.8,22.7
2900001093019,1.45,0.5,2,1,13.05,13.86,54.0,9.9
2900001094702,1.67,0.94,4,1,49.85,137.08,656.0,14.8
2900001157902,2.58,2.98,12,2,47.08,48.22,144.0,22.5
2900001211239,1.12,0.47,3,1,11.23,7.36,25.8,9.9
2900001211321,1.15,0.36,2,1,11.85,9.67,40.5,11.0
2900001215688,1.54,0.91,5,1,28.77,36.89,159.0,15.8
2900001216616,1.67,1.21,6,1,12.61,11.23,55.2,10.9
2900001220255,1.07,0.26,2,1,10.36,12.07,48.8,6.0
2900001234399,1.2,0.4,2,1,16.86,13.08,39.0,14.9
2900001238632,1.6,0.8,3,1,6.88,2.62,9.6,8.5
2900001240246,4.0,1.63,6,4,31.17,22.05,51.4,41.6
2900001255080,1.5,0.5,2,2,33.18,12.42,45.6,45.6
2900001270014,1.0,0.0,1,1,7.85,2.95,10.8,10.8
2900001270199,1.36,1.15,5,1,10.92,5.77,25.0,10.9
2900001270205,1.86,0.83,3,2,8.44,8.73,27.79,4.2
2900001307901,1.11,0.31,2,1,44.95,90.45,300.0,14.8
2900001308168,1.45,0.78,3,1,19.46,13.7,44.74,22.8
2900001331616,1.54,0.96,4,1,20.29,22.99,99.6,10.0
2900001355049,1.0,0.0,1,1,7.83,6.84,16.8,6.5
2900001364058,1.54,0.93,4,1,11.51,11.43,46.3,7.6
2900001398121,1.4,0.61,3,1,15.87,12.73,39.8,12.5
2900001413886,1.0,0.0,1,1,16.53,10.13,39.8,15.5
2900001419826,1.19,0.53,3,1,12.06,9.42,35.0,8.5
2900001421652,1.38,0.48,2,1,17.5,12.22,37.6,22.8
2900001423069,1.2,0.6,3,1,9.58,9.22,29.2,5.5
2900001431651,1.5,0.5,2,2,13.72,4.91,19.2,17.8
2900001432658,1.67,1.03,4,1,66.44,277.24,1632.3,9.9
2900001432672,2.0,0.82,3,2,18.56,7.36,27.9,17.89
2900001435116,1.0,0.0,1,1,61.45,46.55,108.0,108.0
2900001436120,1.0,0.0,1,1,10.69,2.75,16.9,10.0
2900001436366,1.29,0.45,2,1,7.77,5.55,19.9,6.9
2900001436410,1.5,0.5,2,2,12.7,4.24,18.0,15.1
2900001436700,1.33,0.47,2,1,14.63,18.88,55.5,8.6
2900001437165,1.29,0.45,2,1,16.64,15.0,49.9,13.8
2900001437424,1.5,0.5,2,2,10.41,4.76,16.99,11.0
2900001451932,1.67,1.11,4,1,9.43,6.41,22.8,8.7
2900001452366,1.08,0.27,2,1,23.09,25.77,106.9,19.8
2900001462648,1.0,0.0,1,1,11.73,12.44,29.0,6.0
2900001463379,1.0,0.0,1,1,42.67,28.06,72.0,69.0
2900001465380,1.23,0.42,2,1,16.11,15.37,59.7,10.1
2900001465816,1.5,0.87,3,1,25.45,17.42,54.0,25.0
2900001465960,1.88,1.36,5,1,44.08,38.55,112.0,33.74
2900001466509,1.0,0.0,1,1,25.65,15.85,41.5,41.5
2900001467353,1.88,1.08,5,2,18.08,17.08,59.8,11.5
2900001470780,1.5,0.5,2,2,10.43,4.15,16.2,12.0
2900001497336,1.0,0.0,1,1,27.6,0.0,27.6,27.6
2900001509459,1.33,0.6,3,1,13.71,7.84,36.8,10.8
2900001540117,9.5,8.5,18,18,82.75,82.55,165.3,165.3
2900001540971,1.22,0.42,2,1,9.79,4.66,19.8,7.9
2900001550246,1.41,0.77,3,1,11.86,6.99,26.59,10.5
2900001568630,1.94,1.13,4,2,16.66,18.75,88.0,11.9
2900001575201,1.29,0.57,3,1,15.73,18.85,67.4,10.0
2900001578363,1.33,0.55,3,1,22.78,35.72,179.0,7.8
2900001582933,1.0,0.0,1,1,18.8,0.0,18.8,18.8
2900001645768,2.2,1.17,4,2,36.12,22.71,72.18,29.7
2900001661508,2.93,2.25,9,2,25.64,26.03,106.2,16.5
2900001663823,1.14,0.35,2,1,8.96,3.13,12.5,9.8
2900001668996,2.86,2.29,8,2,32.76,54.0,164.0,13.0
2900001671408,1.8,1.17,4,1,12.94,7.08,19.0,17.4
2900001684507,2.0,0.0,2,2,14.79,0.0,14.79,14.79
2900002532630,1.25,0.43,2,1,31.77,26.0,72.0,32.9
2900002542837,1.0,0.0,1,1,9.36,5.06,15.9,11.2
2900002548457,1.5,0.5,2,2,12.98,7.25,20.5,18.4
2900002701746,1.25,0.75,4,1,8.08,5.49,22.9,6.6
2900002927733,1.18,0.38,2,1,46.79,50.07,169.0,31.8
2900002930092,1.11,0.31,2,1,13.09,9.31,30.0,9.9
2900002932416,1.39,1.01,5,1,18.9,23.35,99.0,9.9
2900002932614,1.61,1.01,5,1,21.1,27.33,106.9,13.5
2900002933024,2.1,1.91,9,1,26.46,30.84,168.0,18.9
2900002933918,1.08,0.28,2,1,22.25,32.63,124.9,12.0
2900002934304,1.33,0.75,4,1,32.77,66.59,299.0,11.9
2900002934342,1.42,0.81,4,1,11.21,7.22,30.0,9.8
2900002934762,1.5,0.5,2,2,41.56,91.9,316.0,9.9
2900002934892,1.4,0.73,4,1,16.0,20.45,99.0,11.6
2900002934915,1.0,0.0,1,1,12.36,8.36,29.6,9.9
2900002936520,1.2,0.4,2,1,20.08,9.69,30.6,19.0
2900002936940,1.5,1.31,7,1,10.8,9.61,38.0,8.0
2900002937428,1.29,0.59,3,1,17.98,18.54,72.0,11.4
2900002937503,1.29,0.59,3,1,16.29,14.44,49.7,8.5
2900002969559,1.33,0.47,2,1,69.57,57.62,148.0,49.5
2900003105154,1.38,0.95,5,1,15.25,12.56,59.0,9.9
2900003105161,1.0,0.0,1,1,6.0,0.0,6.0,6.0
2900003106281,1.14,0.35,2,1,10.1,7.99,21.8,7.0
2900003106502,1.0,0.0,1,1,17.42,11.62,35.0,12.5
2900003107363,1.71,1.03,4,1,15.7,8.06,29.6,15.2
2900003108773,5.0,8.08,23,1,19.18,22.56,65.0,10.0
2900003110479,1.6,0.92,4,1,9.56,7.85,38.2,7.9
2900003114002,1.38,0.7,3,1,14.52,13.96,59.0,11.0
2900003114170,1.5,0.5,2,2,17.75,10.75,28.5,28.5
2900003114613,1.11,0.31,2,1,7.93,6.02,15.9,4.9
2900003114880,2.0,1.21,5,2,10.68,6.78,24.0,9.04
2900003115009,1.0,0.0,1,1,6.53,2.91,9.9,6.9
2900003116341,1.0,0.0,1,1,7.9,0.0,7.9,7.9
2900003116822,1.11,0.31,2,1,10.37,8.28,28.8,7.9
2900003117386,1.0,0.0,1,1,13.8,0.0,13.8,13.8
2900003120607,1.25,0.89,5,1,22.16,14.1,69.0,18.9
2900003122076,1.75,1.3,4,1,9.32,4.78,14.9,13.2
2900003123479,1.65,1.35,6,1,11.94,12.48,59.8,7.6
6222021615010082737,2.75,1.48,5,3,47.2,39.4,113.8,36.0
6227002180901670266,2.3,1.96,8,1,22.08,22.52,98.4,12.8
6227002180921663895,1.0,0.0,1,1,6.28,3.51,11.6,6.5
