i,i_agg_user_max,i_agg_user_max_median,i_agg_user_max_mean,i_agg_user_max_std
11022082,1,0,0.33,0.47
11023002,1,0,0.33,0.47
11030003,1,0,0.33,0.47
11030004,1,0,0.33,0.47
11034002,1,0,0.33,0.47
11044009,1,0,0.33,0.47
11046012,1,0,0.33,0.47
11052002,1,0,0.33,0.47
11052006,1,0,0.33,0.47
11052010,1,0,0.33,0.47
11052012,1,1,0.67,0.47
11052013,1,0,0.33,0.47
11052015,1,0,0.33,0.47
11054001,1,0,0.33,0.47
11054017,1,0,0.33,0.47
11054030,1,0,0.33,0.47
11054033,2,2,1.33,0.94
11054036,1,0,0.33,0.47
11054040,1,0,0.33,0.47
11054044,1,0,0.33,0.47
11054048,1,0,0.33,0.47
11054072,1,0,0.33,0.47
11055005,1,0,0.33,0.47
11055007,1,0,0.33,0.47
11055009,1,0,0.33,0.47
11055011,1,0,0.33,0.47
11056005,1,0,0.33,0.47
11056012,2,0,0.67,0.94
11056017,2,0,0.67,0.94
11056025,1,0,0.33,0.47
11056035,1,0,0.33,0.47
11056046,1,0,0.33,0.47
11056048,1,0,0.33,0.47
11056050,1,0,0.33,0.47
11056054,1,0,0.33,0.47
11056064,1,0,0.33,0.47
11056085,10,3,4.33,4.19
11057000,1,0,0.33,0.47
11057029,1,0,0.33,0.47
11057040,4,4,2.67,1.89
11057049,3,1,1.33,1.25
11057050,1,0,0.33,0.47
11057120,1,0,0.33,0.47
11057222,1,0,0.33,0.47
11058004,1,0,0.33,0.47
11058005,1,0,0.33,0.47
11100045,1,0,0.33,0.47
11101013,1,0,0.33,0.47
11101021,1,0,0.33,0.47
11101024,1,0,0.33,0.47
11102100,1,0,0.33,0.47
11104013,1,0,0.33,0.47
11104026,1,0,0.33,0.47
11104027,1,1,0.67,0.47
11104037,1,0,0.33,0.47
11110004,5,4,4.0,0.82
11110046,2,0,0.67,0.94
11110047,1,1,0.67,0.47
11110050,2,1,1.33,0.47
11110052,2,1,1.0,0.82
11110121,1,0,0.33,0.47
11110154,1,0,0.33,0.47
11110157,2,0,0.67,0.94
11111000,1,0,0.33,0.47
11111001,2,1,1.0,0.82
11111015,1,0,0.33,0.47
11112019,2,1,1.0,0.82
11112048,1,0,0.33,0.47
11114007,1,0,0.33,0.47
11114018,1,0,0.33,0.47
11114043,1,0,0.33,0.47
11114052,1,0,0.33,0.47
11114053,1,0,0.33,0.47
11115083,1,0,0.33,0.47
11115178,1,0,0.33,0.47
11120017,1,0,0.33,0.47
11121030,1,0,0.33,0.47
11121078,1,0,0.33,0.47
11141002,3,2,2.0,0.82
11200051,1,0,0.33,0.47
11200057,1,0,0.33,0.47
11200065,1,0,0.33,0.47
11200067,1,0,0.33,0.47
11201005,1,0,0.33,0.47
11201027,1,0,0.33,0.47
11201064,1,0,0.33,0.47
11204001,1,0,0.33,0.47
11205004,1,0,0.33,0.47
11205013,1,0,0.33,0.47
11210049,1,0,0.33,0.47
11210076,1,0,0.33,0.47
11220003,1,1,0.67,0.47
11220014,1,0,0.33,0.47
11220016,2,0,0.67,0.94
11220024,2,0,0.67,0.94
11220032,1,0,0.33,0.47
11220039,1,0,0.33,0.47
11220040,1,1,0.67,0.47
11220041,2,1,1.0,0.82
11220054,1,0,0.33,0.47
11220057,1,1,0.67,0.47
11221017,1,0,0.33,0.47
11221030,1,0,0.33,0.47
11221039,2,0,0.67,0.94
11221041,1,0,0.33,0.47
11221044,1,0,0.33,0.47
11221047,1,0,0.33,0.47
11221051,1,0,0.33,0.47
11221055,1,0,0.33,0.47
11221059,1,0,0.33,0.47
11221061,1,0,0.33,0.47
11222017,1,0,0.33,0.47
11222027,1,0,0.33,0.47
11222028,1,0,0.33,0.47
