b,b_agg_user_max,b_agg_user_max_median,b_agg_user_max_mean,b_agg_user_max_std
14148.0,2.0,0.0,0.67,0.94
14149.0,2.0,1.0,1.33,0.47
14151.0,5.0,2.0,2.67,1.7
14152.0,3.0,2.0,2.0,0.82
14153.0,1.0,0.0,0.33,0.47
14156.0,1.0,0.0,0.33,0.47
14157.0,1.0,0.0,0.33,0.47
14159.0,2.0,0.0,0.67,0.94
14160.0,11.0,4.0,6.33,3.3
14162.0,1.0,1.0,0.67,0.47
14167.0,4.0,1.0,2.0,1.41
14168.0,4.0,3.0,2.67,1.25
14173.0,8.0,8.0,7.33,0.94
14177.0,18.0,17.0,16.33,1.7
14179.0,2.0,1.0,1.33,0.47
14189.0,5.0,2.0,2.67,1.7
14191.0,6.0,2.0,3.0,2.16
14196.0,13.0,10.0,9.0,3.74
14197.0,1.0,0.0,0.33,0.47
14200.0,5.0,2.0,3.0,1.41
14203.0,1.0,0.0,0.33,0.47
14208.0,7.0,7.0,6.0,1.41
14210.0,2.0,1.0,1.33,0.47
14212.0,3.0,2.0,2.0,0.82
14213.0,7.0,3.0,3.67,2.49
14224.0,8.0,5.0,5.33,2.05
14225.0,6.0,4.0,4.0,1.63
14229.0,3.0,1.0,1.33,1.25
14230.0,5.0,2.0,2.33,2.05
14231.0,6.0,6.0,4.33,2.36
14233.0,2.0,1.0,1.33,0.47
14236.0,3.0,3.0,2.33,0.94
14238.0,2.0,1.0,1.0,0.82
14241.0,3.0,2.0,1.67,1.25
14245.0,1.0,1.0,1.0,0.0
14246.0,1.0,0.0,0.33,0.47
14247.0,2.0,0.0,0.67,0.94
14249.0,2.0,0.0,0.67,0.94
14251.0,1.0,1.0,0.67,0.47
14258.0,4.0,4.0,3.0,1.41
14261.0,3.0,0.0,1.0,1.41
14265.0,13.0,6.0,8.0,3.56
14267.0,6.0,3.0,3.0,2.45
14268.0,3.0,3.0,2.0,1.41
14279.0,4.0,2.0,2.67,0.94
14281.0,8.0,7.0,6.33,1.7
14284.0,1.0,0.0,0.33,0.47
14291.0,3.0,2.0,1.67,1.25
14293.0,3.0,2.0,2.0,0.82
14301.0,5.0,4.0,3.0,2.16
14306.0,1.0,0.0,0.33,0.47
14307.0,2.0,0.0,0.67,0.94
14313.0,17.0,8.0,9.67,5.44
14314.0,1.0,1.0,0.67,0.47
14315.0,1.0,0.0,0.33,0.47
14318.0,1.0,1.0,0.67,0.47
14319.0,6.0,4.0,4.33,1.25
14321.0,1.0,1.0,1.0,0.0
14322.0,16.0,12.0,12.0,3.27
14328.0,1.0,0.0,0.33,0.47
14330.0,13.0,7.0,8.33,3.4
14331.0,2.0,2.0,1.33,0.94
14333.0,6.0,6.0,4.33,2.36
14338.0,5.0,4.0,4.33,0.47
14341.0,4.0,1.0,1.67,1.7
14344.0,1.0,0.0,0.33,0.47
14345.0,4.0,2.0,2.33,1.25
14346.0,2.0,1.0,1.0,0.82
14350.0,6.0,4.0,3.67,2.05
14353.0,1.0,0.0,0.33,0.47
14354.0,5.0,5.0,4.67,0.47
14355.0,6.0,2.0,2.67,2.49
14356.0,3.0,1.0,1.67,0.94
14357.0,4.0,3.0,2.33,1.7
14362.0,9.0,8.0,7.33,1.7
14366.0,19.0,14.0,15.0,2.94
14372.0,11.0,5.0,6.0,3.74
14376.0,1.0,0.0,0.33,0.47
14377.0,1.0,0.0,0.33,0.47
14386.0,4.0,4.0,3.33,0.94
14393.0,1.0,1.0,0.67,0.47
14395.0,3.0,0.0,1.0,1.41
14396.0,3.0,1.0,1.67,0.94
14404.0,1.0,0.0,0.33,0.47
14408.0,1.0,1.0,0.67,0.47
14418.0,1.0,0.0,0.33,0.47
14420.0,1.0,0.0,0.33,0.47
14421.0,1.0,1.0,1.0,0.0
14423.0,1.0,0.0,0.33,0.47
14425.0,1.0,1.0,0.67,0.47
14431.0,1.0,1.0,1.0,0.0
14435.0,5.0,1.0,2.33,1.89
14436.0,2.0,1.0,1.0,0.82
14440.0,4.0,2.0,2.0,1.63
14442.0,14.0,12.0,12.67,0.94
14443.0,4.0,2.0,2.0,1.63
14444.0,4.0,3.0,3.0,0.82
14445.0,5.0,3.0,3.67,0.94
14446.0,1.0,1.0,0.67,0.47
14447.0,1.0,0.0,0.33,0.47
14449.0,4.0,2.0,2.67,0.94
14454.0,1.0,0.0,0.33,0.47
