c,c_user_agg_count_mean,c_user_agg_count_std,c_user_agg_count_max,c_user_agg_count_median,c_user_agg_amount_mean,c_user_agg_amount_std,c_user_agg_amount_max,c_user_agg_amount_median
14022,1.0,0.0,1,1,15.4,5.8,19.5,19.5
14031,1.0,0.0,1,1,9.62,4.22,16.8,7.9
14032,3.5,2.5,6,6,33.55,27.65,61.2,61.2
14033,1.36,0.64,3,1,8.32,3.81,17.7,5.9
14034,1.83,1.86,6,1,16.78,20.2,61.2,5.9
14040,1.2,0.4,2,1,21.7,16.35,50.7,20.5
14041,1.0,0.0,1,1,4.9,0.0,4.9,4.9
14042,1.0,0.0,1,1,24.9,0.0,24.9,24.9
14043,1.25,0.43,2,1,21.73,13.9,41.0,28.9
14050,1.12,0.33,2,1,6.49,3.33,15.0,5.9
14051,1.0,0.0,1,1,5.5,0.0,5.5,5.5
14052,1.86,0.64,3,2,9.77,3.28,16.5,9.8
14054,1.13,0.34,2,1,7.25,3.3,15.3,4.5
14060,1.8,1.6,5,1,15.42,12.06,39.5,9.9
14061,1.0,0.0,1,1,21.9,0.0,21.9,21.9
14063,1.0,0.0,1,1,8.9,0.83,9.8,8.99
14064,1.0,0.0,1,1,8.5,0.0,8.5,8.5
14070,1.0,0.0,1,1,7.87,1.88,10.5,6.9
14071,1.0,0.0,1,1,4.7,0.0,4.7,4.7
14072,1.0,0.0,1,1,8.2,2.64,11.9,6.8
14073,1.22,0.42,2,1,15.48,6.72,27.8,11.9
14074,1.0,0.0,1,1,18.1,9.76,37.5,13.8
14075,1.0,0.0,1,1,9.32,2.57,11.6,10.8
14076,1.35,0.48,2,1,13.6,5.85,26.8,10.5
14077,1.0,0.0,1,1,9.8,0.0,9.8,9.8
14078,1.0,0.0,1,1,19.8,0.0,19.8,19.8
14079,1.0,0.0,1,1,15.9,0.0,15.9,15.9
14080,1.0,0.0,1,1,9.97,5.4,18.7,8.5
14081,1.0,0.0,1,1,12.82,3.92,16.9,12.9
14082,1.63,1.22,5,1,5.46,4.41,19.5,3.5
14083,1.2,0.4,2,1,4.56,1.52,7.6,3.8
14084,1.0,0.0,1,1,8.9,0.0,8.9,8.9
14090,1.63,0.81,4,1,13.03,6.44,30.7,10.9
14091,1.81,1.23,7,1,8.58,5.4,29.2,6.0
14092,2.14,1.2,5,2,11.72,9.03,38.6,8.8
14093,1.0,0.0,1,1,38.0,0.0,38.0,38.0
14094,1.0,0.0,1,1,3.9,0.0,3.9,3.9
14100,1.0,0.0,1,1,9.15,2.65,11.8,11.8
14101,1.0,0.0,1,1,6.55,6.6,22.8,4.0
14102,1.0,0.0,1,1,11.8,0.0,11.8,11.8
14103,1.0,0.0,1,1,8.8,0.0,8.8,8.8
14105,1.17,0.37,2,1,7.23,5.59,18.9,6.0
14108,1.0,0.0,1,1,12.05,1.45,13.5,13.5
14110,1.0,0.0,1,1,24.8,0.0,24.8,24.8
14111,1.0,0.0,1,1,12.8,0.0,12.8,12.8
14112,1.11,0.31,2,1,11.49,0.88,11.8,11.8
14120,1.2,0.4,2,1,5.6,2.92,11.0,5.5
14121,1.06,0.24,2,1,15.49,5.34,33.2,16.6
14122,1.0,0.0,1,1,2.5,0.0,2.5,2.5
14130,1.17,0.55,3,1,9.35,4.86,24.9,8.7
14131,1.0,0.0,1,1,8.2,2.26,9.8,9.8
14132,1.33,0.47,2,1,72.43,92.31,254.7,15.9
14133,1.0,0.0,1,1,4.8,0.0,4.8,4.8
14140,4.0,0.0,4,4,47.6,0.0,47.6,47.6
14141,1.0,0.0,1,1,3.6,0.0,3.6,3.6
14142,1.5,0.5,2,2,6.3,2.1,8.4,8.4
14200,1.6,0.8,4,1,12.75,5.97,27.4,11.9
14202,2.0,0.0,2,2,25.0,0.0,25.0,25.0
14203,1.0,0.0,1,1,9.18,3.03,12.9,10.0
14205,1.0,0.0,1,1,5.45,3.55,9.0,9.0
14208,1.0,0.0,1,1,28.5,0.0,28.5,28.5
14209,1.0,0.0,1,1,19.02,7.61,32.0,15.8
14221,1.0,0.0,1,1,19.9,0.0,19.9,19.9
14222,1.08,0.27,2,1,9.62,4.32,22.6,7.9
14223,1.0,0.0,1,1,10.25,5.75,16.0,16.0
14231,1.5,0.5,2,2,7.95,3.05,11.0,11.0
14232,1.0,0.0,1,1,3.25,0.75,4.0,4.0
14234,1.0,0.0,1,1,3.9,0.0,3.9,3.9
14240,1.0,0.0,1,1,3.9,0.0,3.9,3.9
14241,1.88,1.96,7,1,7.1,7.7,27.3,4.0
14243,1.67,0.47,2,2,6.1,1.58,7.8,6.5
14250,2.0,1.22,4,2,31.7,24.36,66.6,42.4
14251,1.0,0.0,1,1,19.9,0.0,19.9,19.9
14252,1.0,0.0,1,1,23.8,0.0,23.8,23.8
14253,1.75,1.3,4,1,17.32,12.86,39.6,9.9
14255,1.0,0.0,1,1,15.9,0.0,15.9,15.9
14256,1.33,0.47,2,1,26.1,12.15,42.0,23.8
14257,1.0,0.0,1,1,26.0,0.0,26.0,26.0
14258,1.0,0.0,1,1,11.97,0.75,12.5,12.5
14261,1.4,0.49,2,1,27.96,18.66,53.6,16.9
14270,1.0,0.0,1,1,3.2,0.0,3.2,3.2
14272,1.0,0.0,1,1,5.9,0.0,5.9,5.9
14275,1.36,0.61,3,1,11.95,9.48,31.4,7.6
14280,1.25,0.43,2,1,7.17,2.56,11.6,5.8
14281,1.5,0.5,2,2,9.85,2.64,13.6,11.0
14282,1.0,0.0,1,1,5.5,0.0,5.5,5.5
14284,1.2,0.4,2,1,7.28,3.93,14.9,5.8
14286,1.67,0.75,3,2,5.67,3.06,11.7,5.8
14300,1.63,1.46,7,1,19.57,13.79,61.6,15.8
14310,1.25,0.43,2,1,26.27,19.91,59.6,19.8
14362,1.0,0.0,1,1,100.0,0.0,100.0,100.0
14400,1.5,0.5,2,2,17.92,0.13,18.05,18.05
14402,1.0,0.0,1,1,10.86,3.64,15.84,9.53
14403,1.23,0.42,2,1,24.95,18.93,62.65,18.48
14405,1.0,0.0,1,1,28.08,0.0,28.08,28.08
14406,2.0,1.0,3,3,32.85,25.57,58.42,58.42
14407,1.33,0.47,2,1,17.18,6.17,24.18,18.2
14409,1.2,0.4,2,1,10.25,3.16,14.82,8.94
14500,1.0,0.0,1,1,65.0,0.0,65.0,65.0
14506,1.5,0.5,2,2,26.8,3.0,29.8,29.8
14510,1.0,0.0,1,1,12.9,0.0,12.9,12.9
14513,2.0,0.0,2,2,9.0,0.0,9.0,9.0
14515,1.0,0.0,1,1,11.82,2.73,16.9,9.9
14520,1.0,0.0,1,1,16.8,0.0,16.8,16.8
14521,1.14,0.35,2,1,28.5,11.88,42.8,36.8
14525,1.0,0.0,1,1,16.99,0.0,16.99,16.99
14529,1.0,0.0,1,1,12.8,0.0,12.8,12.8
14530,1.0,0.0,1,1,26.63,15.4,58.0,26.9
14531,1.25,0.43,2,1,41.55,22.0,79.6,29.9
14533,1.0,0.0,1,1,16.4,6.5,22.9,22.9
14541,1.33,0.47,2,1,37.07,13.11,55.6,27.8
14551,2.0,0.0,2,2,37.0,0.0,37.0,37.0
14552,1.5,0.5,2,2,20.75,8.85,29.6,29.6
14560,1.25,0.43,2,1,10.12,1.97,13.2,9.8
14563,1.0,0.0,1,1,11.9,0.0,11.9,11.9
14570,1.0,0.0,1,1,34.87,23.8,66.9,27.8
14572,1.0,0.0,1,1,59.0,0.0,59.0,59.0
14573,1.5,0.5,2,2,21.9,11.7,33.6,33.6
14580,1.0,0.0,1,1,39.95,1.95,41.9,41.9
14582,1.0,0.0,1,1,65.0,0.0,65.0,65.0
14584,1.5,0.5,2,2,103.5,38.5,142.0,142.0
14585,1.0,0.0,1,1,25.85,2.95,28.8,28.8
14590,1.0,0.0,1,1,28.8,0.0,28.8,28.8
14593,1.5,0.5,2,2,8.7,2.9,11.6,11.6
14594,1.12,0.33,2,1,4.71,1.47,6.5,5.8
14596,1.0,0.0,1,1,8.12,2.38,9.5,9.5
14600,1.0,0.0,1,1,188.0,0.0,188.0,188.0
14630,1.25,0.43,2,1,16.12,10.16,33.0,12.9
14633,1.5,0.5,2,2,8.4,2.6,11.0,11.0
14635,1.0,0.0,1,1,8.5,0.0,8.5,8.5
14636,1.5,0.5,2,2,5.5,1.5,7.0,7.0
14644,1.0,0.0,1,1,5.6,2.1,7.7,7.7
14650,1.0,0.0,1,1,12.5,0.0,12.5,12.5
14651,1.0,0.0,1,1,12.3,0.14,12.5,12.2
14652,1.0,0.0,1,1,20.0,0.0,20.0,20.0
14654,1.0,0.0,1,1,9.0,0.0,9.0,9.0
14661,1.0,0.0,1,1,14.8,0.0,14.8,14.8
14700,1.4,0.49,2,1,52.36,19.62,73.0,58.9
14701,1.0,0.0,1,1,44.5,10.31,58.8,39.8
14702,1.0,0.0,1,1,71.8,0.0,71.8,71.8
14710,1.0,0.0,1,1,35.28,7.61,49.9,32.8
14713,1.0,0.0,1,1,31.9,0.0,31.9,31.9
14714,1.0,0.0,1,1,24.9,0.0,24.9,24.9
14715,1.0,0.0,1,1,36.8,0.0,36.8,36.8
14720,1.5,0.5,2,2,5.3,2.3,7.6,7.6
14721,1.24,0.81,5,1,18.23,8.18,36.3,15.1
14722,1.71,0.67,3,2,9.42,6.45,25.4,8.0
14723,1.0,0.0,1,1,1.0,0.0,1.0,1.0
14732,1.0,0.0,1,1,5.0,0.0,5.0,5.0
14733,1.0,0.0,1,1,6.0,0.0,6.0,6.0
14741,1.0,0.0,1,1,4.5,0.0,4.5,4.5
14750,1.4,0.63,3,1,13.35,6.41,33.4,10.9
14753,2.0,0.82,3,2,31.17,12.6,48.5,26.1
14754,1.6,0.8,3,1,25.74,16.44,53.7,16.9
14761,2.0,0.0,2,2,20.8,0.0,20.8,20.8
14763,1.0,0.0,1,1,19.9,0.0,19.9,19.9
14770,1.0,0.0,1,1,150.57,36.79,199.0,142.8
14772,1.5,0.5,2,2,73.3,13.4,86.7,86.7
14774,1.0,0.0,1,1,52.3,14.39,70.0,41.9
14775,1.0,0.0,1,1,33.9,0.0,33.9,33.9
14800,1.12,0.33,2,1,11.1,6.8,24.8,11.8
14801,1.0,0.0,1,1,9.1,1.36,11.99,9.0
14802,1.1,0.3,2,1,18.49,11.01,61.7,15.9
14803,1.0,0.0,1,1,18.9,0.0,18.9,18.9
14804,1.0,0.0,1,1,10.3,0.4,10.7,10.7
14811,1.0,0.0,1,1,10.6,4.65,16.5,9.0
14812,1.0,0.0,1,1,10.58,5.17,22.0,8.2
14813,1.0,0.0,1,1,11.6,8.73,29.0,7.7
14814,1.0,0.0,1,1,6.22,1.42,8.6,5.9
14815,1.12,0.33,2,1,6.97,2.15,11.2,6.0
14820,1.0,0.0,1,1,29.9,0.0,29.9,29.9
14822,1.0,0.0,1,1,9.15,1.3,9.9,9.9
14823,1.0,0.0,1,1,9.9,0.0,9.9,9.9
14826,1.0,0.0,1,1,5.5,1.0,6.5,6.5
14827,1.0,0.0,1,1,17.6,0.0,17.6,17.6
14828,1.0,0.0,1,1,16.2,0.0,16.2,16.2
14830,1.06,0.24,2,1,10.54,3.62,19.8,9.3
14831,1.24,0.73,4,1,10.25,6.73,34.5,8.0
14833,1.0,0.0,1,1,8.78,3.6,13.4,10.5
14834,6.0,0.0,6,6,17.4,0.0,17.4,17.4
14836,1.0,0.0,1,1,11.7,7.89,25.8,7.5
14837,1.12,0.33,2,1,11.07,3.26,19.4,10.8
14838,1.0,0.0,1,1,6.6,0.0,6.6,6.6
14839,1.0,0.0,1,1,11.33,1.81,13.8,11.8
14840,1.0,0.0,1,1,4.0,0.0,4.0,4.0
14841,1.29,0.7,3,1,11.1,3.72,16.2,10.9
14842,1.17,0.37,2,1,9.98,4.46,16.9,11.8
14843,1.0,0.0,1,1,3.5,0.0,3.5,3.5
14844,1.33,0.47,2,1,10.6,4.39,17.2,12.2
14845,1.0,0.0,1,1,6.75,2.85,9.6,9.6
14846,1.2,0.4,2,1,6.52,2.55,9.9,6.5
14847,1.0,0.0,1,1,4.15,2.35,6.5,6.5
14850,2.0,0.0,2,2,19.8,0.0,19.8,19.8
14851,1.5,0.5,2,2,24.7,20.9,45.6,45.6
14860,2.05,1.46,7,2,5.45,3.6,17.6,5.6
14861,1.25,0.43,2,1,12.75,4.34,20.5,10.5
14862,1.0,0.0,1,1,9.25,0.35,9.6,9.6
14863,1.0,0.0,1,1,9.19,1.31,9.9,9.6
14870,1.0,0.0,1,1,6.24,1.52,8.8,5.7
14871,1.0,0.0,1,1,2.5,0.0,2.5,2.5
14872,1.0,0.0,1,1,2.5,0.0,2.5,2.5
14873,1.33,0.47,2,1,5.87,3.18,9.0,7.1
14874,1.0,0.0,1,1,7.2,0.0,7.2,7.2
14900,3.85,3.03,11,2,9.9,7.72,28.0,9.0
14901,2.0,0.0,2,2,4.0,0.0,4.0,4.0
14903,2.0,0.0,2,2,3.8,0.2,4.0,4.0
14905,1.25,0.43,2,1,3.95,2.05,6.0,6.0
