i,i_user_agg_count_mean,i_user_agg_count_std,i_user_agg_count_max,i_user_agg_count_median,i_user_agg_amount_mean,i_user_agg_amount_std,i_user_agg_amount_max,i_user_agg_amount_median
15101005,1.0,0.0,1,1,30.8,0.0,30.8,30.8
15103000,1.0,0.0,1,1,18.0,0.0,18.0,18.0
15104009,1.0,0.0,1,1,19.8,0.0,19.8,19.8
15104011,1.0,0.0,1,1,20.8,0.0,20.8,20.8
15104012,1.0,0.0,1,1,14.5,0.0,14.5,14.5
15104013,1.0,0.0,1,1,17.6,0.0,17.6,17.6
15104019,1.0,0.0,1,1,17.5,0.0,17.5,17.5
15104021,1.0,0.0,1,1,17.5,0.0,17.5,17.5
15104025,1.5,0.5,2,2,32.85,10.95,43.8,43.8
15105000,1.5,0.5,2,2,8.7,2.9,11.6,11.6
15105002,1.0,0.0,1,1,5.8,0.0,5.8,5.8
15110000,1.0,0.0,1,1,12.5,0.0,12.5,12.5
15110001,1.82,0.98,4,2,28.32,17.33,69.6,17.4
15110003,1.0,0.0,1,1,3.3,0.0,3.3,3.3
15110004,9.0,11.31,25,1,80.67,106.3,231.0,5.5
15110008,1.0,0.0,1,1,9.9,0.0,9.9,9.9
15110009,1.0,0.0,1,1,6.5,0.0,6.5,6.5
15110010,2.5,0.5,3,3,8.75,1.75,10.5,10.5
15110012,1.0,0.0,1,1,4.7,0.2,4.9,4.9
15110014,1.0,0.0,1,1,9.3,0.49,9.9,8.9
15110015,1.0,0.0,1,1,9.42,4.68,15.0,9.6
15110016,1.0,0.0,1,1,4.8,0.0,4.8,4.8
15110017,1.0,0.0,1,1,18.8,0.0,18.8,18.8
15110018,2.33,1.89,5,1,19.6,15.84,42.0,8.4
15110019,1.0,0.0,1,1,9.9,0.0,9.9,9.9
15110020,1.0,0.0,1,1,21.6,0.0,21.6,21.6
15110021,1.5,0.5,2,2,7.5,2.5,10.0,10.0
15110022,1.0,0.0,1,1,18.5,0.0,18.5,18.5
15110023,1.0,0.0,1,1,15.3,0.0,15.3,15.3
15110026,1.0,0.0,1,1,13.5,4.5,18.0,18.0
15110027,1.0,0.0,1,1,7.5,0.0,7.5,7.5
15110028,1.4,0.49,2,1,11.31,3.17,13.98,13.7
15110029,1.0,0.0,1,1,3.5,0.0,3.5,3.5
15110030,1.4,0.49,2,1,13.68,5.01,19.8,9.9
15110031,2.0,1.15,4,2,36.45,18.83,64.3,39.6
15110032,1.33,0.47,2,1,7.53,3.04,11.8,5.9
15110033,1.0,0.0,1,1,12.0,0.0,12.0,12.0
15110035,1.5,0.5,2,2,11.55,8.25,19.8,19.8
15110036,1.0,0.0,1,1,3.9,0.0,3.9,3.9
15110037,2.0,0.0,2,2,12.5,0.0,12.5,12.5
15110038,1.0,0.0,1,1,12.9,0.0,12.9,12.9
15110041,2.5,0.5,3,3,14.75,2.95,17.7,17.7
15110042,1.0,0.0,1,1,9.9,0.0,9.9,9.9
15110043,1.33,0.94,4,1,10.42,6.77,29.4,8.4
15110044,1.2,0.4,2,1,13.56,7.93,27.0,10.8
15110046,1.2,0.4,2,1,13.52,5.43,23.9,9.9
15110048,1.0,0.0,1,1,11.9,0.0,11.9,11.9
15110051,1.0,0.0,1,1,14.9,0.0,14.9,14.9
15110052,1.0,0.0,1,1,15.2,0.0,15.2,15.2
15110060,1.0,0.0,1,1,18.9,0.0,18.9,18.9
15110062,2.0,0.0,2,2,31.8,0.0,31.8,31.8
15110066,1.0,0.0,1,1,25.8,0.0,25.8,25.8
15110068,2.0,0.0,2,2,9.6,0.0,9.6,9.6
15110069,1.0,0.0,1,1,11.1,0.4,11.9,10.9
15110071,1.47,0.82,4,1,11.3,10.29,40.0,7.96
15110073,1.0,0.0,1,1,16.8,0.0,16.8,16.8
15110076,1.0,0.0,1,1,6.9,0.0,6.9,6.9
