u,u_b_agg_count_unique_max,u_b_agg_count_unique_median,u_b_agg_count_unique_mean,u_b_agg_count_unique_std
1590151825175,17,15,14.333333333333334,2.494438257849294
1590151832593,22,21,19.666666666666668,2.6246692913372702
1590151835808,8,3,3.6666666666666665,3.299831645537222
1590151842899,16,15,14.0,2.160246899469287
1590151843124,25,5,10.666666666666666,10.208928554075703
1590151977348,5,3,3.0,1.632993161855452
1591012978559,13,3,5.333333333333333,5.557777333511022
1591013167365,7,6,6.0,0.816496580927726
1591013471721,6,0,2.0,2.8284271247461903
1591013766650,31,7,12.666666666666666,13.274871834493252
1591013866800,8,3,3.6666666666666665,3.299831645537222
1591013877134,9,0,3.0,4.242640687119285
1591014083046,25,15,15.333333333333334,7.760297817881877
1591014130276,8,2,3.3333333333333335,3.39934634239519
1591014214433,27,9,13.666666666666666,9.568466729604882
1591014338276,10,0,3.3333333333333335,4.714045207910316
1591014523610,8,5,5.0,2.449489742783178
1591014577972,25,0,8.333333333333334,11.785113019775793
1591014680184,13,8,9.666666666666666,2.357022603955158
1591015027858,4,0,1.3333333333333333,1.8856180831641267
1591015034924,5,4,4.0,0.816496580927726
1591015074944,15,0,5.0,7.0710678118654755
1591015097233,6,6,4.0,2.8284271247461903
1591015097516,10,9,6.666666666666667,4.0276819911981905
1591015136338,13,9,7.333333333333333,5.436502143433363
1591015218485,7,6,5.0,2.160246899469287
1591015269418,9,5,6.0,2.160246899469287
1591015327590,22,11,11.0,8.981462390204987
1591015408602,14,8,9.0,3.7416573867739413
1591015419448,10,9,6.333333333333333,4.496912521077347
1591015420000,19,0,6.333333333333333,8.956685895029603
1591015452933,15,11,10.666666666666666,3.6817870057290873
1591015454210,18,14,11.666666666666666,6.342099196813483
1591015454562,13,5,6.0,5.354126134736337
1591015454692,3,2,1.6666666666666667,1.247219128924647
1591015454814,21,8,10.666666666666666,7.586537784494029
1591015456955,13,7,9.0,2.8284271247461903
1591015476700,4,3,3.3333333333333335,0.4714045207910317
1591015478124,14,12,10.666666666666666,3.39934634239519
1591015480745,6,0,2.0,2.8284271247461903
1591015483951,20,7,9.0,8.286535263104035
1591015501716,8,6,5.333333333333333,2.494438257849294
1591015506575,12,11,7.666666666666667,5.436502143433364
1591015519216,21,11,12.333333333333334,6.599663291074443
1591015521639,6,6,5.666666666666667,0.4714045207910317
1591015600815,9,0,3.0,4.242640687119285
1591015604417,26,11,13.666666666666666,9.177266598624136
1591016154157,11,9,8.333333333333334,2.494438257849294
1591016159916,14,0,4.666666666666667,6.599663291074443
1591016170300,6,4,4.333333333333333,1.247219128924647
1591016172045,14,5,7.333333333333333,4.784233364802441
1591016174353,34,21,18.333333333333332,14.007934259633798
1591016174957,18,16,12.0,7.118052168020874
1591016310287,32,16,18.333333333333332,10.338708279513881
1591016320026,8,0,2.6666666666666665,3.7712361663282534
1591016411137,10,0,3.3333333333333335,4.714045207910316
1591016439575,8,0,2.6666666666666665,3.7712361663282534
1591016443121,3,2,1.6666666666666667,1.247219128924647
1591016494765,4,0,1.3333333333333333,1.8856180831641267
1591016517778,5,3,2.6666666666666665,2.0548046676563256
1591016517921,21,6,9.0,8.831760866327848
1591016519031,14,9,10.0,2.943920288775949
1591020269281,13,9,7.333333333333333,5.436502143433363
1591020377344,17,0,5.666666666666667,8.013876853447538
1591020695158,6,1,2.3333333333333335,2.6246692913372702
1591020742401,12,7,8.333333333333334,2.6246692913372702
1591020742449,8,0,2.6666666666666665,3.7712361663282534
1591030092053,4,1,2.0,1.4142135623730951
1591030217500,21,3,8.333333333333334,8.993825042154693
1591030411823,4,3,2.3333333333333335,1.699673171197595
1591040087452,18,0,6.0,8.48528137423857
1591040155274,5,0,1.6666666666666667,2.357022603955158
1591040161114,5,5,3.3333333333333335,2.3570226039551585
1591040356657,9,4,5.666666666666667,2.357022603955158
1591040416658,23,10,13.666666666666666,6.649979114420002
1591040462983,14,0,4.666666666666667,6.599663291074443
1591040497398,8,0,2.6666666666666665,3.7712361663282534
1592010017509,17,10,10.666666666666666,4.921607686744467
1592013087615,16,7,8.666666666666666,5.436502143433364
1592014016171,8,7,5.0,3.559026084010437
1592015013285,15,15,13.0,2.8284271247461903
1592015016880,29,8,13.666666666666666,10.96458946893235
1592015018662,6,0,2.0,2.8284271247461903
1592015026841,11,8,7.333333333333333,3.299831645537222
1592015046818,24,4,10.0,9.93310961716756
1592015053267,38,25,26.0,9.41629792788369
1592015056299,25,17,19.333333333333332,4.0276819911981905
1592015056343,21,16,15.333333333333334,4.921607686744467
1592015058781,35,0,11.666666666666666,16.49915822768611
1592015059993,16,0,5.333333333333333,7.542472332656507
1593140971419,4,2,2.0,1.632993161855452
